DEPARTURES_PERFORMED,PASSENGERS,DISTANCE,UNIQUE_CARRIER,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,MONTH
12.00,706.00,606.00,EV,13930,ORD,10397,ATL,9
12.00,706.00,794.00,G7,11292,DEN,14683,SAT,12
12.00,707.00,440.00,QX,14262,PSP,14893,SMF,6
12.00,708.00,259.00,9E,10397,ATL,10994,CHS,8
12.00,709.00,136.00,XP,14761,SFB,14082,PGD,5
12.00,710.00,237.00,WN,13198,MCI,15016,STL,8
12.00,710.00,428.00,OH,11057,CLT,12339,IND,5
12.00,711.00,629.00,YX,14100,PHL,14685,SAV,12
12.00,711.00,689.00,OO,14869,SLC,14747,SEA,11
12.00,711.00,690.00,YX,13198,MCI,13495,MSY,5
12.00,712.00,403.00,S5,13930,ORD,13198,MCI,7
12.00,712.00,558.00,OO,13891,ONT,14869,SLC,6
12.00,713.00,192.00,OO,14570,RNO,14771,SFO,1
12.00,713.00,589.00,OO,14869,SLC,13796,OAK,6
12.00,713.00,744.00,CO,12266,IAH,10140,ABQ,2
12.00,714.00,366.00,EV,11252,DAB,10397,ATL,10
12.00,714.00,851.00,YX,14986,SRQ,11278,DCA,5
12.00,715.00,329.00,OH,10693,BNA,11057,CLT,6
12.00,715.00,487.00,WN,15016,STL,11042,CLE,2
12.00,715.00,689.00,OO,14747,SEA,14869,SLC,11
12.00,716.00,412.00,YV,13930,ORD,14122,PIT,3
12.00,716.00,740.00,CP (2),12478,JFK,13930,ORD,12
12.00,717.00,214.00,US,12953,LGA,11278,DCA,9
12.00,718.00,390.00,S5,11292,DEN,14869,SLC,12
12.00,719.00,837.00,OO,13495,MSY,13930,ORD,12
12.00,720.00,213.00,OH (1),11278,DCA,12478,JFK,9
12.00,720.00,678.00,YV,13930,ORD,14100,PHL,8
12.00,721.00,659.00,CP (2),12953,LGA,12339,IND,12
12.00,724.00,473.00,YX,14100,PHL,13577,MYR,5
12.00,726.00,1046.00,B6,11697,FLL,14843,SJU,3
12.00,728.00,500.00,DL,11057,CLT,11433,DTW,1
12.00,730.00,1041.00,YV,13930,ORD,14683,SAT,8
12.00,732.00,493.00,XJ,10140,ABQ,14869,SLC,8
12.00,732.00,1437.00,OO,10713,BOI,13930,ORD,7
12.00,733.00,512.00,XJ,13244,MEM,11057,CLT,3
12.00,733.00,589.00,OO,13796,OAK,14869,SLC,6
12.00,733.00,590.00,S5,11292,DEN,11423,DSM,3
12.00,733.00,834.00,CP (2),12451,JAX,12953,LGA,12
12.00,734.00,238.00,DL,11433,DTW,13342,MKE,2
12.00,734.00,299.00,OO,11423,DSM,13930,ORD,10
12.00,734.00,412.00,YV,14122,PIT,13930,ORD,8
12.00,735.00,775.00,OO,11292,DEN,10423,AUS,2
12.00,736.00,1254.00,OO,13487,MSP,14252,PSC,8
12.00,737.00,432.00,OH (1),13244,MEM,11298,DFW,8
12.00,737.00,1156.00,OO,15016,STL,14869,SLC,1
12.00,738.00,518.00,XJ,11066,CMH,13244,MEM,6
12.00,744.00,1199.00,OO,10397,ATL,11292,DEN,12
12.00,746.00,264.00,U5,13930,ORD,11193,CVG,12
12.00,746.00,440.00,OH (1),11433,DTW,15016,STL,12
12.00,746.00,629.00,CP (2),11433,DTW,13198,MCI,12
12.00,746.00,690.00,YX,13495,MSY,13198,MCI,5
12.00,747.00,793.00,OH (1),15096,SYR,10397,ATL,8
12.00,748.00,366.00,EV,10397,ATL,11252,DAB,10
12.00,748.00,432.00,XJ,11298,DFW,13244,MEM,8
12.00,749.00,528.00,YV,13930,ORD,14576,ROC,2
12.00,750.00,238.00,WN,14100,PHL,14307,PVD,11
12.00,750.00,325.00,YV,12264,IAD,10257,ALB,8
12.00,750.00,1310.00,SY,13487,MSP,12206,HRL,4
12.00,752.00,1437.00,OO,13930,ORD,10713,BOI,7
12.00,753.00,473.00,YV,13930,ORD,10792,BUF,8
12.00,753.00,851.00,YX,14986,SRQ,11278,DCA,12
12.00,754.00,493.00,WN,14869,SLC,10140,ABQ,3
12.00,754.00,1116.00,XJ,14307,PVD,13487,MSP,8
12.00,755.00,723.00,YV,13930,ORD,10257,ALB,7
12.00,756.00,446.00,EV,10397,ATL,11066,CMH,4
12.00,756.00,1123.00,YV,11292,DEN,11433,DTW,2
12.00,757.00,120.00,CP (2),11433,DTW,11986,GRR,12
